land_size_m2,building_size_m2,bedrooms,bathrooms,city,price_in_rp
136.0,66.0,3.0,2.0, Bekasi,1900000000.0
84.0,77.0,3.0,3.0, Bekasi,1180000000.0
105.0,95.0,4.0,3.0, Bekasi,1430000000.0
84.0,77.0,3.0,2.0, Bekasi,1180000000.0
60.0,38.0,2.0,1.0, Bekasi,400000000.0
84.0,62.0,2.0,2.0, Bekasi,1470000000.0
78.0,54.0,2.0,2.0, Bekasi,440000000.0
72.0,36.0,2.0,1.0, Bekasi,324000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
78.0,83.0,3.0,3.0, Bekasi,764000000.0
150.0,195.0,3.0,3.0, Bekasi,1900000000.0
50.0,68.0,2.0,2.0, Bekasi,650000000.0
158.0,272.0,4.0,3.0, Bekasi,1450000000.0
50.0,68.0,2.0,2.0, Bekasi,650000000.0
108.0,80.0,3.0,2.0, Bekasi,925000000.0
66.0,87.0,3.0,2.0, Bekasi,950000000.0
95.0,150.0,4.0,2.0, Bekasi,1300000000.0
95.0,150.0,4.0,2.0, Bekasi,1350000000.0
66.0,30.0,2.0,1.0, Bekasi,490000000.0
120.0,100.0,3.0,2.0, Bekasi,650000000.0
91.0,60.0,2.0,1.0, Bekasi,770000000.0
100.0,85.0,2.0,1.0, Bekasi,720000000.0
66.0,100.0,3.0,2.0, Bekasi,875000000.0
66.0,100.0,3.0,2.0, Bekasi,875000000.0
66.0,100.0,3.0,2.0, Bekasi,875000000.0
72.0,135.0,3.0,2.0, Bekasi,1490000000.0
168.0,250.0,4.0,3.0, Bekasi,2750000000.0
72.0,110.0,3.0,2.0, Bekasi,1900000000.0
72.0,110.0,3.0,2.0, Bekasi,1900000000.0
200.0,400.0,3.0,4.0, Bekasi,2500000000.0
150.0,165.0,5.0,3.0, Bekasi,1590000000.0
